GEOID,state,county,strokeRate
13025,Georgia,Brantley,65.6
13027,Georgia,Brooks,85.4
13029,Georgia,Bryan,87.8
13031,Georgia,Bulloch,105.1
13033,Georgia,Burke,85.9
13035,Georgia,Butts,84.8
13037,Georgia,Calhoun,108.1
13039,Georgia,Camden,58.3
13043,Georgia,Candler,105.6
13045,Georgia,Carroll,84.6
13047,Georgia,Catoosa,81.0
13049,Georgia,Charlton,66.8
13051,Georgia,Chatham,81.5
13053,Georgia,Chattahoochee,76.1
13055,Georgia,Chattooga,87.9
13057,Georgia,Cherokee,64.9
13059,Georgia,Clarke,85.9
13061,Georgia,Clay,103.8
13063,Georgia,Clayton,75.7
13065,Georgia,Clinch,95.9
13067,Georgia,Cobb,70.5
13069,Georgia,Coffee,106.8
13071,Georgia,Colquitt,89.4
13073,Georgia,Columbia,75.9
13075,Georgia,Cook,80.2
13077,Georgia,Coweta,75.9
13079,Georgia,Crawford,88.5
13081,Georgia,Crisp,83.2
13083,Georgia,Dade,85.7
13085,Georgia,Dawson,67.4
13087,Georgia,Decatur,102.4
13089,Georgia,DeKalb,73.8
13091,Georgia,Dodge,105.7
13093,Georgia,Dooly,87.4
13095,Georgia,Dougherty,105.0
13097,Georgia,Douglas,82.5
13099,Georgia,Early,89.8
13101,Georgia,Echols,85.0
13103,Georgia,Effingham,72.5
13105,Georgia,Elbert,95.4
13107,Georgia,Emanuel,104.0
13109,Georgia,Evans,93.5
13111,Georgia,Fannin,81.9
13113,Georgia,Fayette,73.5
13115,Georgia,Floyd,96.0
13117,Georgia,Forsyth,68.4
13119,Georgia,Franklin,105.9
13121,Georgia,Fulton,74.9
13123,Georgia,Gilmer,77.1
13125,Georgia,Glascock,91.3
13127,Georgia,Glynn,56.1
13129,Georgia,Gordon,95.0
13131,Georgia,Grady,101.3
13133,Georgia,Greene,66.0
13135,Georgia,Gwinnett,70.8
13137,Georgia,Habersham,79.0
13139,Georgia,Hall,69.8
13141,Georgia,Hancock,70.3
13143,Georgia,Haralson,69.9
13145,Georgia,Harris,61.2
13147,Georgia,Hart,97.6
13149,Georgia,Heard,88.5
